Author_Handle,tweet_count
vladomirosevic,3
ArayaManola,3
lauralbornoz,3
Ferantonia28,3
aline_patriarca,3
claudionarea,3
camboue,3
GiorgioJackson,3
winnerfibonac,3
Jfcardenasr,3
gonzalowinter,3
SalvoMontalban6,3
brigadachacon,3
LyaGonzalez1,3
triniturro,3
santiuribedel,3
reloaled,3
FUNDIDOSxMILEI,3
JairoLadino_,3
SGF76717518,3
liderfiscal,3
Resistenciaok,3
mondini1912,3
elduckpost,3
ElsaKekita,3
vidalcvale,3
juanif17,3
FaresJadue,3
Andre00244,3
Andres_lat_,3
berfontaine,3
MatiMow,3
ExpresoPeru,3
ClaudioCrespoG,3
FactosConAdrian,3
EstebanPaulon,3
LaVonHayek,3
desachile,3
Jorge_BastidasR,3
Patriick_Niico,3
PoliticaChileX,3
GaloLaraY,3
Alberto85366967,3
AvelloCarrillo,3
xixu_xxv,3
eldestapeweb,3
gastonoyarzun2,3
LibertarianWeb,3
Notiparaco,3
satoruswft,3
PamJiles,3
luis_toro_t,3
DonLibrotecario,3
intisumaj2,3
xxxxxxx03474898,3
MajulLuisOK,3
LavanchyMarta,3
miguelfriasreca,3
bacigalupe,3
Fcancinov,3
kevinestebancg,3
tere_marinovic,3
gransopi,3
cfelmerv,3
WendigoUprising,3
koelner_haie,3
Divididos_Sumo,3
AdrianaVeterin,3
CristianVialM,3
MarceTyS,3
caidodelcatre2,3
marthaperaltae,3
Tanjiro_patriot,3
_ceciliaD,3
mmullor2016,3
RodRettig,3
emischneiderv,3
Partido_NL,3
cnashr,3
camilaemiliasv,3
BartoloOpina,3
KarenKoetje,3
TommyShelby_30,3
MariaFdaCabal,3
Lhuchin,2
arturo_squella,2
abalosfelipe,2
Zepperonia,2
TefaOstios,2
LaJulietaMM,2
artemisalopezc,2
ladypenquista,2
Cristin33004449,2
IsaReynoldsC,2
silva_caro45780,2
difamadores,2
LaChileanWay,2
GolRicky11,2
AForeroM,2
LateralDerecho6,2
Flo_0708,2
lagitanilla249,2
StefanoMalaveM,2
cesargutipri,2
DMatamala,2
Francis28192809,2
0000sabee,2
KalinaAnnGG,2
jajaime1960,2
AdamSmithFree,2
Mecha_corta29,2
MVM_ing,2
micolpontiero,2
zunilda091,2
ElAhorcado_SG,2
Edgar_VotaJara,2
NEO2012SAVE,2
luiscuellop,2
santypatriota,2
el_dinamo,2
RobertoCeledonF,2
DaveNPC_,2
yasnalewin,2
smaciasr,2
rodrigovega,2
RicardoPatinoEC,2
Matiasright,2
pablolirar,2
JavierCouso6,2
Tomidiazcueto,2
Felipescu,2
DignidadFabiola,2
FLANEUR_54,2
rockdrigo27,2
DiegoASantos,2
JUANCAELBROKY,2
Antullanka,2
senadorquintana,2
aiiglesiasm,2
juanegor,2
MAndreaNieto,2
ElCheZOV,2
MashiRafael,2
ayala_rodolfo,2
rodolfoasar,2
