,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
stalin_gonzalez,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
stanleybostero,2,2,0,0.0,2.0,0.002408914787746307,5.141418025745184e-07,1,0
stewartcastro,1,1,0,0.0,2.0,0.0024965498273490086,5.797769263074357e-06,1,0
subtepass,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
suncitylouis,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
surpatagon,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
surubidelnorte,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
sylviabucher,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
tatilucci,2,2,0,0.0,2.5,0.003864060617124746,3.2817561866458615e-06,1,0
teacher2o23,1,1,0,0.0,1.0,0.0013210204000992265,2.62540494931669e-07,1,0
tejko1985,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
thecliniccl,6,0,6,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
traviejita_,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
tuitsfalsos,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
valientesu,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
vanessakaiser22,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
vannessarr,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
veroloren,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
victortin,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
vidalcvale,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
vivca100,1,1,0,0.0,3.5,0.002120944873338984,1.4100612415288392e-05,1,0
wallstwolverine,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
wiesenthal1632,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
willanRSC,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
yocontratodo,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
yuyufernan,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
ziliava,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
zorrotapatio,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
